#label	con$f$ig	J	energy(lit)	Re$f$.
0	5$$d$$$^{10}$6$s$ $^2$S	1/2	0	ED
1	5$d$$^{9}$6$s$$^2$ $^2$D	5/2	9161.3	ED
2	5$d$$^{9}$6$s$$^2$ $^2$D	3/2	21435.191	ED
3	5$d$$^{10}$6$p$ $^2$P$^{\circ}$	1/2	37358.9	ED
4	5$d$$^{10}$6$p$ $^2$P$^{\circ}$	3/2	41174.613	ED
5	5$d$$^{9}$6$s$6$p$ $^4$P$^{\circ}$	5/2	42163.53	ED
6	5$d$$^{9}$6$s$6$p$ $^4$F$^{\circ}$	7/2	45537.195	ED
7	5$d$$^{9}$6$s$6$p$ $^4$F$^{\circ}$	5/2	46174.979	ED
8	5$d$$^{9}$6$s$6$p$ $^4$D$^{\circ}$	5/2	46379	PS
9	5$d$$^{9}$6$s$6$p$ $^4$P$^{\circ}$	3/2	47007.433	ED
10	5$d$$^{9}$6$s$6$p$ $^4$F$^{\circ}$	9/2	48697.147	ED
11	5$d$$^{9}$6$s$6$p$ $^4$D$^{\circ}$	7/2	51028.894	ED
12	5$d$$^{9}$6$s$6$p$ $^2$D$^{\circ}$	3/2	51231.53	ED
13	5$d$$^{9}$6$s$6$p$ $^4$F$^{\circ}$	3/2	51485	PS
14	5$d$$^{9}$6$s$6$p$ $^2$D$^{\circ}$	5/2	51653.46	ED
15	5$d$$^{9}$6$s$6$p$ $^2$F$^{\circ}$	7/2	52802.1	ED
16	5$d$$^{9}$6$s$6$p$ $^4$P$^{\circ}$	1/2	53196.32	BG
17	5$d$$^{10}$7$s$ $^2$S	1/2	54485.235	ED
18	5$d$$^{9}$6$s$6$p$ $^4$D$^{\circ}$	1/2	55732.613	ED
19	5$d$$^{9}$6$s$6$p$ $^4$D$^{\circ}$	3/2	56105.748	ED
20	5$d$$^{9}$6$s$6$p_{1/2}$ $^2$F$^{\circ}$	5/2	58616.764	ED
21	5$d$$^{9}$6$s$6$p$ $^2$P$^{\circ}$	3/2	58845.414	ED
22	5$d$$^{9}$6$s$6$p_{3/2}$ $^2$F$^{\circ}$	5/2	59713.2	PS
23	5$d$$^{10}$7$p$ $^2$P$^{\circ}$	1/2	60032.85	BG
24	5$d$$^{10}$7$p$ $^2$P$^{\circ}$	3/2	60728.49	BG
25	5$d$$^{9}$6$s$6$p$ $^2$D$^{\circ}$	5/2	61255.574	ED
26	5$d$$^{9}$6$s$6$p$ $^2$D$^{\circ}$	3/2	61563.3	PS
27	5$d$$^{10}$6$d$ $^2$D	3/2	61951.886	ED
28	5$d$$^{10}$6$d$ $^2$D	5/2	62034.363	ED
29	5$d$$^{9}$6$s$6$p$ $^2$P$^{\circ}$	3/2	63005.1	PS
30	5$d$$^{10}$8$s$ $^2$S	1/2	64742.896	ED
31	5$d$$^{10}$8$p$ $^2$P$^{\circ}$	1/2	66605.3	PS
32	5$d$$^{10}$8$p$ $^2$P$^{\circ}$	3/2	66910.3	PS
33	5$d$$^{10}$7$d$ $^2$D	3/2	67469.683	ED
34	5$d$$^{10}$5$f$ $^2$F$^{\circ}$	7/2	67485.3	PS
35	5$d$$^{10}$5$f$ $^2$F$^{\circ}$	5/2	67490	PS
36	5$d$$^{10}$7$d$ $^2$D	5/2	67510.605	ED
